temperature_c,ldr_left,ldr_right,avg_light,light_diff,voltage_v,current_a,power_w,fault_type,split
41.28,861.28,883.98,872.63,22.7,14.96,4.33,64.7768,0,train
69.93,740.43,713.2,726.82,27.23,13.83,3.41,47.1603,3,train
30.15,442.34,33.66,238.0,408.68,14.75,1.34,19.765,2,validation
57.5,761.77,881.96,821.86,120.19,20.36,0.25,5.09,4,train
44.99,667.57,593.16,630.36,74.41,13.29,2.89,38.4081,4,train
49.19,869.51,816.72,843.12,52.79,11.42,2.84,32.4328,4,validation
31.68,119.78,103.65,111.72,16.13,17.24,0.4,6.896,1,validation
55.13,858.91,741.05,799.98,117.86,10.55,2.58,27.219,4,validation
44.65,661.0,86.61,373.8,574.39,10.57,0.6,6.342,2,train
49.54,674.27,675.08,674.68,0.81,17.05,2.77,47.2285,0,train
65.95,861.85,834.62,848.24,27.23,14.46,4.32,62.4672,3,train
59.01,658.46,759.37,708.92,100.91,15.26,2.09,31.8934,3,train
60.5,449.44,436.19,442.82,13.25,3.79,2.66,10.0814,4,train
34.75,120.77,185.06,152.92,64.29,14.02,0.63,8.8326,1,train
51.94,182.36,793.93,488.14,611.57,10.98,0.88,9.6624,2,validation
47.07,953.88,141.72,547.8,812.16,6.89,0.24,1.6536,2,train
30.07,314.33,229.85,272.09,84.48,13.85,0.17,2.3545,1,test
47.04,769.31,277.6,523.45,491.71,8.9,1.37,12.193,2,validation
51.94,482.5,564.47,523.48,81.97,20.03,0.0,0.0,4,train
50.41,833.46,1005.74,919.6,172.28,17.18,3.64,62.5352,0,train
50.51,464.26,582.91,523.58,118.65,1.03,4.19,4.3157,4,train
33.93,77.07,87.74,82.4,10.67,12.31,0.34,4.1854,1,train
50.6,675.96,726.06,701.01,50.1,4.88,0.99,4.8312,4,train
57.63,680.72,651.81,666.26,28.91,14.25,2.8,39.9,3,train
36.78,370.48,385.93,378.21,15.45,7.7,2.55,19.635,4,train
40.96,573.98,623.69,598.84,49.71,5.66,1.21,6.8486,4,train
36.71,262.82,269.45,266.14,6.63,15.58,0.98,15.2684,1,test
45.76,832.04,771.27,801.66,60.77,17.12,3.98,68.1376,0,validation
44.96,586.02,615.3,600.66,29.28,14.86,1.8,26.748,0,train
28.86,121.05,515.22,318.14,394.17,10.82,1.84,19.9088,2,test
75.92,637.34,580.3,608.82,57.04,13.54,2.31,31.2774,3,train
72.09,856.26,800.49,828.38,55.77,14.5,2.93,42.485,3,validation
46.02,476.56,100.7,288.63,375.86,9.54,0.42,4.0068,2,validation
34.03,199.97,211.65,205.81,11.68,15.68,0.62,9.7216,1,train
46.35,619.23,298.3,458.76,320.93,7.91,1.92,15.1872,2,validation
53.32,473.74,530.39,502.06,56.65,10.52,1.05,11.046,4,train
40.71,618.57,528.23,573.4,90.34,19.74,0.35,6.909,4,train
37.0,191.49,264.05,227.77,72.56,15.03,1.17,17.5851,1,train
40.34,48.03,73.75,60.89,25.72,15.52,0.35,5.432,1,validation
48.58,679.98,615.4,647.69,64.58,11.51,2.12,24.4012,4,train
49.3,134.33,695.76,415.04,561.43,7.28,2.13,15.5064,2,test
33.24,440.7,540.27,490.48,99.57,9.54,0.12,1.1448,4,train
52.63,539.3,552.28,545.79,12.98,1.84,4.41,8.1144,4,validation
66.03,821.51,777.67,799.59,43.84,14.53,3.49,50.7097,3,train
46.73,630.27,569.85,600.06,60.42,14.45,1.75,25.2875,0,train
37.16,69.35,77.89,73.62,8.54,13.38,0.5,6.69,1,train
30.26,611.98,756.45,684.22,144.47,17.06,1.64,27.9784,0,train
37.01,260.15,203.75,231.95,56.4,15.39,0.39,6.0021,1,train
35.46,126.9,173.48,150.19,46.58,10.76,0.07,0.7532,1,train
71.45,842.52,677.19,759.86,165.33,14.4,2.69,38.736,3,validation
72.05,918.28,1004.07,961.18,85.79,13.62,4.01,54.6162,3,train
65.0,827.28,826.04,826.66,1.24,15.26,3.8,57.988,3,train
43.12,532.67,503.23,517.95,29.44,19.39,0.4,7.756,4,train
66.92,1014.3,923.49,968.9,90.81,15.48,3.93,60.8364,3,train
38.96,429.75,418.08,423.92,11.67,13.59,2.44,33.1596,4,train
29.99,207.21,468.74,337.98,261.53,10.52,0.23,2.4196,2,train
54.46,810.74,770.54,790.64,40.2,14.78,2.39,35.3242,0,test
57.44,922.38,1023.0,972.69,100.62,16.75,4.14,69.345,0,train
49.76,518.07,547.75,532.91,29.68,12.02,1.75,21.035,4,train
49.49,801.16,891.83,846.5,90.67,16.32,3.28,53.5296,0,train
38.07,565.99,197.57,381.78,368.42,7.7,0.88,6.776,2,validation
30.62,54.19,127.48,90.84,73.29,12.96,0.06,0.7776,1,train
41.46,847.33,729.92,788.62,117.41,16.03,3.12,50.0136,0,train
78.28,542.32,574.59,558.46,32.27,13.97,1.77,24.7269,3,train
47.61,197.73,861.76,529.74,664.03,12.2,0.99,12.078,2,train
38.02,163.74,189.38,176.56,25.64,12.89,0.47,6.0583,1,validation
41.3,760.3,94.34,427.32,665.96,14.28,1.09,15.5652,2,train
16.12,1.14,45.42,23.28,44.28,14.41,0.0,0.0,1,test
45.48,799.88,9.56,404.72,790.32,9.06,0.48,4.3488,2,train
48.3,971.74,223.03,597.38,748.71,5.94,0.29,1.7226,2,validation
76.35,966.1,907.61,936.86,58.49,13.91,3.7,51.467,3,train
62.94,945.99,940.77,943.38,5.22,13.85,2.36,32.686,3,test
84.5,839.54,784.01,811.78,55.53,14.09,1.93,27.1937,3,train
51.37,698.91,74.39,386.65,624.52,9.25,0.66,6.105,2,train
37.87,129.38,134.65,132.01,5.27,16.83,0.22,3.7026,1,train
41.6,148.22,714.07,431.15,565.85,13.12,1.28,16.7936,2,test
31.28,513.06,361.18,437.12,151.88,14.98,0.86,12.8828,0,train
24.04,461.45,138.58,300.02,322.87,8.38,1.17,9.8046,2,test
73.5,876.84,922.98,899.91,46.14,14.17,3.82,54.1294,3,train
87.94,908.54,836.11,872.32,72.43,14.06,3.67,51.6002,3,test
75.2,960.93,937.55,949.24,23.38,15.52,3.04,47.1808,3,train
45.33,623.55,599.34,611.44,24.21,19.7,0.91,17.927,4,test
52.52,866.54,1023.0,944.77,156.46,13.42,1.27,17.0434,4,train
56.84,880.2,818.28,849.24,61.92,14.95,4.02,60.099,0,train
82.51,863.62,773.66,818.64,89.96,11.89,3.3,39.237,3,test
49.55,0.0,742.99,371.5,742.99,12.89,0.13,1.6757,2,train
60.38,791.67,699.3,745.48,92.37,13.4,2.95,39.53,4,train
74.3,767.12,832.27,799.7,65.15,14.47,2.94,42.5418,3,train
39.33,541.31,572.21,556.76,30.9,15.08,1.37,20.6596,0,train
75.19,850.55,830.43,840.49,20.12,13.74,3.96,54.4104,3,train
42.08,882.34,299.36,590.85,582.98,8.41,1.86,15.6426,2,train
33.2,51.44,27.91,39.67,23.53,16.91,0.03,0.5073,1,train
53.6,381.99,773.27,577.63,391.28,12.58,0.0,0.0,2,train
32.62,214.66,119.75,167.2,94.91,12.33,1.07,13.1931,1,train
45.05,488.32,599.0,543.66,110.68,18.51,0.0,0.0,4,train
59.78,918.52,1006.94,962.73,88.42,15.17,3.85,58.4045,3,validation
27.56,627.61,466.17,546.89,161.44,16.24,0.53,8.6072,0,train
26.92,114.07,167.48,140.77,53.41,15.08,0.67,10.1036,1,train
57.31,993.88,904.58,949.23,89.3,16.25,3.45,56.0625,0,test
27.43,21.7,37.6,29.65,15.9,14.08,0.0,0.0,1,train
51.98,528.28,509.36,518.82,18.92,3.84,5.45,20.928,4,validation
59.77,705.26,807.17,756.21,101.91,14.16,3.67,51.9672,3,train
53.09,452.52,510.1,481.31,57.58,16.76,1.46,24.4696,0,train
63.43,937.0,797.39,867.2,139.61,15.53,3.14,48.7642,3,train
36.28,234.51,659.67,447.09,425.16,12.54,1.95,24.453,2,train
40.56,351.67,518.77,435.22,167.1,21.21,0.0,0.0,4,validation
41.52,540.06,522.51,531.28,17.55,11.69,0.65,7.5985,4,train
65.94,800.98,680.18,740.58,120.8,14.75,2.59,38.2025,3,train
62.88,891.17,891.36,891.26,0.19,16.19,4.1,66.379,0,test
36.73,699.07,634.19,666.63,64.88,12.93,3.0,38.79,0,train
39.37,554.09,520.58,537.34,33.51,15.6,1.23,19.188,0,train
34.88,66.05,133.26,99.66,67.21,14.77,0.06,0.8862,1,train
52.1,298.88,830.29,564.58,531.41,11.56,2.14,24.7384,2,train
41.33,680.93,655.66,668.3,25.27,0.0,4.76,0.0,4,train
51.06,842.45,940.0,891.22,97.55,14.01,3.07,43.0107,0,train
38.5,577.14,434.39,505.76,142.75,18.69,0.77,14.3913,0,test
64.21,778.19,684.7,731.44,93.49,14.88,3.12,46.4256,3,train
68.71,475.38,420.34,447.86,55.04,9.59,3.73,35.7707,4,train
90.28,798.42,772.03,785.22,26.39,11.76,2.92,34.3392,3,train
39.68,435.28,423.15,429.22,12.13,15.85,2.12,33.602,0,train
63.9,841.19,849.56,845.38,8.37,13.34,2.77,36.9518,3,validation
43.61,569.31,488.06,528.68,81.25,8.18,2.53,20.6954,4,validation
37.28,618.22,355.91,487.07,262.31,2.35,4.88,11.468,4,train
30.9,0.0,86.63,43.32,86.63,11.7,0.0,0.0,1,train
60.79,944.17,997.89,971.03,53.72,14.64,3.73,54.6072,3,train
39.45,802.75,906.33,854.54,103.58,15.72,2.96,46.5312,0,train
59.95,881.02,943.06,912.04,62.04,16.5,4.41,72.765,0,train
35.67,425.81,509.84,467.82,84.03,9.38,1.79,16.7902,4,train
35.93,134.34,115.08,124.71,19.26,17.44,0.0,0.0,1,train
47.61,552.58,457.05,504.82,95.53,6.33,2.11,13.3563,4,train
31.84,440.93,201.06,321.0,239.87,9.71,0.86,8.3506,2,train
37.48,446.03,570.2,508.12,124.17,15.9,1.09,17.331,0,train
51.83,444.48,430.01,437.24,14.47,16.46,2.68,44.1128,0,train
63.88,823.88,851.39,837.64,27.51,14.98,2.74,41.0452,3,train
39.04,538.61,480.51,509.56,58.1,17.49,0.65,11.3685,0,train
36.99,103.56,614.94,359.25,511.38,7.81,1.55,12.1055,2,train
33.42,627.65,484.61,556.13,143.04,14.26,2.81,40.0706,0,validation
42.77,688.71,654.31,671.51,34.4,0.93,3.66,3.4038,4,train
40.26,606.9,623.82,615.36,16.92,16.07,2.22,35.6754,0,validation
29.61,71.58,240.92,156.25,169.34,15.92,0.0,0.0,1,train
34.56,172.87,437.97,305.42,265.1,11.91,1.03,12.2673,2,train
84.66,876.79,796.09,836.44,80.7,14.14,4.07,57.5498,3,train
51.73,634.56,637.79,636.17,3.23,14.97,3.43,51.3471,0,train
34.22,157.18,83.41,120.3,73.77,13.32,0.0,0.0,1,train
88.75,661.77,680.3,671.04,18.53,11.62,2.86,33.2332,3,train
28.94,105.01,0.0,52.5,105.01,13.59,0.0,0.0,1,train
50.0,69.26,422.97,246.12,353.71,13.04,1.5,19.56,2,validation
49.86,217.04,635.07,426.06,418.03,10.36,1.36,14.0896,2,validation
26.84,61.47,11.37,36.42,50.1,13.83,0.22,3.0426,1,train
28.27,437.65,461.1,449.38,23.45,17.66,1.22,21.5452,0,validation
37.41,208.51,197.29,202.9,11.22,16.0,0.58,9.28,1,train
43.91,905.2,895.02,900.11,10.18,15.09,3.86,58.2474,0,train
34.23,51.94,125.43,88.68,73.49,12.95,0.0,0.0,1,train
73.98,550.2,521.65,535.92,28.55,7.32,3.6,26.352,4,train
36.8,218.24,218.09,218.17,0.15,11.76,0.46,5.4096,1,train
46.19,960.22,0.0,480.11,960.22,9.54,1.65,15.741,2,train
39.33,465.18,530.17,497.67,64.99,0.18,5.89,1.0602,4,train
44.44,822.61,248.44,535.52,574.17,7.84,0.65,5.096,2,train
56.17,759.59,736.42,748.0,23.17,11.82,1.65,19.503,4,train
46.71,516.85,617.49,567.17,100.64,9.55,3.19,30.4645,4,train
34.16,614.35,532.29,573.32,82.06,16.71,2.14,35.7594,0,train
46.76,480.57,533.19,506.88,52.62,4.31,0.73,3.1463,4,train
79.41,941.0,872.31,906.66,68.69,11.65,2.35,27.3775,3,test
46.02,1023.0,351.48,687.24,671.52,8.46,1.24,10.4904,2,train
46.22,697.66,713.36,705.51,15.7,9.18,2.12,19.4616,4,train
32.04,98.87,398.52,248.7,299.65,9.92,0.68,6.7456,2,train
45.5,668.85,635.1,651.98,33.75,20.16,0.19,3.8304,4,train
46.84,533.12,101.64,317.38,431.48,10.03,0.66,6.6198,2,train
38.42,0.0,427.9,213.95,427.9,6.9,1.72,11.868,2,train
79.19,764.8,819.56,792.18,54.76,14.89,3.79,56.4331,3,train
60.86,666.31,673.79,670.05,7.48,13.34,1.89,25.2126,4,train
59.89,964.32,828.42,896.37,135.9,13.99,3.66,51.2034,3,train
85.48,812.75,922.99,867.87,110.24,12.69,2.97,37.6893,3,validation
37.09,618.02,491.25,554.64,126.77,17.11,1.12,19.1632,0,train
65.02,566.8,533.77,550.28,33.03,4.97,3.35,16.6495,4,train
72.92,950.69,850.53,900.61,100.16,3.68,3.75,13.8,4,train
50.98,0.0,467.14,233.57,467.14,8.01,0.09,0.7209,2,train
54.16,794.68,791.75,793.21,2.93,10.33,2.12,21.8996,4,validation
51.83,445.86,331.41,388.64,114.45,6.02,2.71,16.3142,4,test
32.52,115.09,30.93,73.01,84.16,13.21,0.26,3.4346,1,test
47.71,456.67,474.0,465.34,17.33,10.75,1.04,11.18,4,train
72.68,809.79,850.81,830.3,41.02,11.5,4.35,50.025,3,train
46.22,599.72,555.9,577.81,43.82,20.41,0.44,8.9804,4,train
39.46,482.28,525.31,503.79,43.03,15.55,2.08,32.344,0,validation
62.93,648.73,690.31,669.52,41.58,12.9,2.65,34.185,3,train
35.74,27.97,493.67,260.82,465.7,9.04,1.43,12.9272,2,test
36.3,68.49,440.84,254.66,372.35,12.09,0.72,8.7048,2,train
40.72,425.87,117.17,271.52,308.7,13.73,0.22,3.0206,2,test
42.04,617.91,690.71,654.31,72.8,10.28,2.1,21.588,4,train
40.53,379.95,533.01,456.48,153.06,3.8,1.87,7.106,4,validation
28.6,195.98,133.48,164.73,62.5,16.69,0.78,13.0182,1,train
78.08,705.43,718.39,711.91,12.96,14.07,3.43,48.2601,3,train
37.51,128.56,428.02,278.29,299.46,10.83,0.76,8.2308,2,train
51.04,807.98,731.17,769.58,76.81,0.91,5.19,4.7229,4,train
26.4,0.0,0.0,0.0,0.0,10.97,0.47,5.1559,1,test
44.24,522.43,524.57,523.5,2.14,16.48,1.17,19.2816,0,train
51.93,596.33,661.15,628.74,64.82,15.03,1.2,18.036,0,test
35.27,353.97,522.44,438.21,168.47,16.03,1.19,19.0757,0,train
43.75,631.55,232.24,431.9,399.31,9.7,1.41,13.677,2,train
85.7,874.15,850.32,862.24,23.83,13.26,4.23,56.0898,3,train
37.64,550.16,536.11,543.14,14.05,12.84,1.13,14.5092,4,test
62.18,900.94,1023.0,961.97,122.06,15.0,4.28,64.2,0,train
43.65,447.64,616.45,532.05,168.81,6.83,1.15,7.8545,4,validation
23.12,8.87,87.83,48.35,78.96,16.6,0.11,1.826,1,train
41.73,489.57,508.36,498.96,18.79,3.79,4.42,16.7518,4,train
29.08,494.48,458.78,476.63,35.7,17.94,1.52,27.2688,0,validation
47.39,779.25,661.01,720.13,118.24,20.78,0.26,5.4028,4,train
73.98,756.1,796.45,776.28,40.35,14.18,2.25,31.905,3,train
40.79,197.1,391.29,294.2,194.19,9.11,0.82,7.4702,2,validation
67.17,754.39,739.76,747.08,14.63,12.71,2.52,32.0292,3,validation
40.94,481.61,56.85,269.23,424.76,10.38,1.34,13.9092,2,train
51.6,780.36,748.9,764.63,31.46,15.51,4.39,68.0889,0,train
61.97,1023.0,935.24,979.12,87.76,14.5,3.64,52.78,3,train
87.53,898.71,834.1,866.4,64.61,12.92,3.89,50.2588,3,train
36.28,435.06,349.62,392.34,85.44,1.74,4.6,8.004,4,train
52.24,185.26,710.97,448.12,525.71,13.46,0.98,13.1908,2,train
37.02,218.31,116.3,167.3,102.01,13.46,0.3,4.038,1,train
29.5,59.76,511.65,285.7,451.89,12.37,1.15,14.2255,2,train
39.85,414.18,504.32,459.25,90.14,17.1,1.49,25.479,0,train
61.11,824.14,812.04,818.09,12.1,16.43,3.11,51.0973,0,test
43.77,563.95,375.17,469.56,188.78,0.0,5.68,0.0,4,validation
50.16,958.64,869.19,913.92,89.45,15.02,3.5,52.57,0,train
54.82,914.61,864.34,889.48,50.27,15.03,3.49,52.4547,0,train
50.54,141.2,831.27,486.24,690.07,7.18,0.39,2.8002,2,train
62.16,839.52,982.12,910.82,142.6,15.51,4.44,68.8644,3,train
69.31,845.24,926.33,885.79,81.09,13.79,3.81,52.5399,3,test
39.35,97.14,46.61,71.88,50.53,16.52,0.41,6.7732,1,train
28.93,106.04,199.98,153.01,93.94,13.86,0.35,4.851,1,train
40.86,524.21,572.03,548.12,47.82,10.64,1.83,19.4712,4,train
31.98,773.88,755.17,764.52,18.71,12.59,2.78,35.0002,4,train
30.95,412.27,285.73,349.0,126.54,8.57,1.33,11.3981,2,train
42.32,405.73,516.13,460.93,110.4,19.28,0.0,0.0,4,train
23.89,0.0,33.87,16.93,33.87,17.59,0.0,0.0,1,train
91.97,890.17,934.28,912.22,44.11,12.69,3.99,50.6331,3,test
27.81,518.69,501.42,510.06,17.27,16.62,1.19,19.7778,0,train
35.94,716.91,218.61,467.76,498.3,9.29,0.82,7.6178,2,train
44.65,673.23,533.8,603.52,139.43,1.37,4.5,6.165,4,validation
38.69,139.62,84.32,111.97,55.3,15.55,0.0,0.0,1,train
48.13,956.82,965.52,961.17,8.7,14.29,4.14,59.1606,0,train
43.23,178.02,178.31,178.17,0.29,13.41,0.0,0.0,1,train
69.17,794.23,811.11,802.67,16.88,14.96,4.08,61.0368,3,train
43.19,723.18,844.57,783.88,121.39,10.63,3.39,36.0357,4,validation
50.28,784.38,761.42,772.9,22.96,0.38,5.37,2.0406,4,train
37.78,437.93,487.09,462.51,49.16,0.2,4.73,0.946,4,train
30.82,247.93,154.7,201.32,93.23,14.49,0.79,11.4471,1,train
47.05,680.82,745.84,713.33,65.02,15.71,3.49,54.8279,0,validation
47.24,674.94,692.58,683.76,17.64,15.19,1.98,30.0762,0,train
39.74,462.64,92.9,277.77,369.74,12.5,0.9,11.25,2,train
38.5,573.28,485.02,529.15,88.26,16.01,1.35,21.6135,0,train
48.43,448.57,481.61,465.09,33.04,3.7,1.46,5.402,4,train
50.13,844.2,777.24,810.72,66.96,16.72,3.12,52.1664,0,train
94.51,958.43,828.32,893.38,130.11,12.48,4.51,56.2848,3,test
39.53,656.37,844.45,750.41,188.08,9.23,3.06,28.2438,4,train
58.8,617.36,564.42,590.89,52.94,4.02,3.87,15.5574,4,validation
43.88,666.66,622.43,644.54,44.23,18.77,0.0,0.0,4,train
41.91,602.7,655.4,629.05,52.7,7.1,0.7,4.97,4,train
47.86,553.46,416.73,485.1,136.73,13.64,3.48,47.4672,4,train
86.81,840.1,898.48,869.29,58.38,14.42,2.54,36.6268,3,train
27.73,152.23,203.65,177.94,51.42,15.45,0.9,13.905,1,train
43.46,531.82,444.75,488.28,87.07,17.82,2.61,46.5102,0,train
38.47,512.47,491.27,501.87,21.2,16.48,1.13,18.6224,0,train
46.31,486.18,562.71,524.45,76.53,16.5,1.31,21.615,0,train
65.0,787.97,786.86,787.42,1.11,14.76,3.73,55.0548,3,validation
31.86,0.0,90.84,45.42,90.84,17.45,0.0,0.0,1,train
35.08,500.1,574.93,537.52,74.83,13.98,1.17,16.3566,0,train
51.8,729.15,19.83,374.49,709.32,7.27,0.48,3.4896,2,train
82.38,855.31,880.37,867.84,25.06,14.26,3.11,44.3486,3,train
84.72,794.56,786.55,790.56,8.01,12.18,3.5,42.63,3,train
46.84,836.48,805.04,820.76,31.44,15.11,3.04,45.9344,0,train
44.49,793.36,743.52,768.44,49.84,15.09,3.73,56.2857,0,validation
40.24,518.54,513.15,515.84,5.39,16.69,1.42,23.6998,0,test
71.73,954.67,800.62,877.64,154.05,13.95,3.43,47.8485,3,train
32.72,115.72,181.77,148.74,66.05,12.37,0.59,7.2983,1,train
45.44,787.15,161.81,474.48,625.34,7.87,0.26,2.0462,2,train
34.24,186.26,113.18,149.72,73.08,11.69,0.59,6.8971,1,train
58.09,947.64,997.15,972.4,49.51,0.48,5.37,2.5776,4,train
47.1,694.2,537.28,615.74,156.92,13.9,1.43,19.877,0,train
54.36,895.3,890.75,893.02,4.55,15.74,3.92,61.7008,0,validation
41.44,499.81,615.44,557.62,115.63,17.16,1.43,24.5388,0,train
45.36,76.21,582.47,329.34,506.26,12.77,0.29,3.7033,2,validation
39.41,212.36,535.49,373.92,323.13,12.3,0.65,7.995,2,validation
39.01,423.89,432.48,428.18,8.59,15.83,0.78,12.3474,0,test
67.84,1023.0,925.39,974.2,97.61,15.38,4.04,62.1352,3,test
28.65,56.75,78.43,67.59,21.68,15.06,0.18,2.7108,1,train
51.97,812.64,696.24,754.44,116.4,10.07,1.92,19.3344,4,train
73.3,786.32,768.76,777.54,17.56,13.81,2.91,40.1871,3,train
52.61,939.55,886.9,913.22,52.65,14.52,4.08,59.2416,0,validation
39.84,430.32,536.31,483.31,105.99,17.51,1.55,27.1405,0,train
32.25,131.0,53.11,92.06,77.89,12.71,0.66,8.3886,1,test
28.72,104.01,40.59,72.3,63.42,14.43,0.32,4.6176,1,test
55.85,140.4,664.59,402.5,524.19,6.83,1.72,11.7476,2,validation
58.38,923.51,884.79,904.15,38.72,12.96,3.18,41.2128,3,train
24.01,0.0,28.06,14.03,28.06,12.45,0.0,0.0,1,train
64.1,834.61,871.12,852.86,36.51,14.98,2.55,38.199,3,train
41.89,89.22,547.83,318.53,458.61,8.87,1.53,13.5711,2,validation
40.77,77.71,78.29,78.0,0.58,14.36,0.3,4.308,1,train
48.82,836.01,789.77,812.89,46.24,16.11,3.7,59.607,0,test
54.4,796.44,850.99,823.72,54.55,11.4,0.06,0.684,4,train
43.19,834.05,762.87,798.46,71.18,18.55,0.02,0.371,4,train
49.14,675.87,64.57,370.22,611.3,11.23,1.62,18.1926,2,train
25.79,79.02,81.13,80.07,2.11,15.86,0.11,1.7446,1,train
86.63,889.68,812.22,850.95,77.46,12.89,3.07,39.5723,3,train
34.72,167.23,246.66,206.94,79.43,13.94,0.41,5.7154,1,train
40.7,119.23,462.07,290.65,342.84,8.51,1.52,12.9352,2,test
40.04,471.35,135.24,303.3,336.11,11.15,2.03,22.6345,2,validation
67.03,780.42,845.61,813.02,65.19,14.02,3.61,50.6122,3,test
35.04,483.91,77.57,280.74,406.34,10.48,0.45,4.716,2,train
50.11,831.91,806.35,819.13,25.56,17.57,3.0,52.71,0,train
53.35,613.13,646.48,629.81,33.35,20.47,0.0,0.0,4,validation
28.67,110.35,70.6,90.48,39.75,13.64,0.45,6.138,1,validation
28.07,42.65,111.81,77.23,69.16,13.5,0.69,9.315,1,train
83.37,807.02,904.04,855.53,97.02,12.78,3.96,50.6088,3,validation
43.73,803.84,128.42,466.13,675.42,9.04,1.58,14.2832,2,train
44.87,518.81,638.06,578.43,119.25,16.61,2.75,45.6775,0,train
35.18,569.87,521.29,545.58,48.58,15.72,1.71,26.8812,0,test
59.42,725.31,738.96,732.14,13.65,15.4,2.95,45.43,3,validation
45.67,189.05,1016.52,602.78,827.47,12.82,0.84,10.7688,2,train
36.19,125.31,538.06,331.68,412.75,14.97,1.53,22.9041,2,test
46.38,584.82,695.16,639.99,110.34,15.88,1.79,28.4252,0,validation
48.37,759.56,776.21,767.88,16.65,17.37,2.26,39.2562,0,train
45.94,786.95,764.9,775.92,22.05,19.65,0.0,0.0,4,train
78.1,777.89,719.42,748.66,58.47,14.11,2.98,42.0478,3,validation
33.49,136.38,276.98,206.68,140.6,12.53,0.75,9.3975,1,train
58.51,874.72,760.86,817.79,113.86,14.09,2.97,41.8473,3,train
46.32,464.9,492.17,478.54,27.27,15.89,1.55,24.6295,0,train
31.98,529.99,518.16,524.08,11.83,16.83,1.36,22.8888,0,validation
31.08,0.0,106.8,53.4,106.8,12.56,0.12,1.5072,1,train
59.34,925.97,874.1,900.04,51.87,16.01,3.96,63.3996,0,test
39.43,16.57,10.45,13.51,6.12,15.52,0.17,2.6384,1,validation
71.41,844.16,843.73,843.94,0.43,13.33,2.94,39.1902,3,validation
39.51,99.98,137.37,118.68,37.39,12.46,0.0,0.0,1,train
63.3,778.09,867.85,822.97,89.76,12.9,3.66,47.214,3,train
52.51,592.52,651.26,621.89,58.74,21.3,0.0,0.0,4,train
31.54,453.56,513.68,483.62,60.12,16.9,1.55,26.195,0,train
46.79,69.97,854.55,462.26,784.58,9.58,2.23,21.3634,2,test
43.76,606.67,279.86,443.26,326.81,10.06,1.57,15.7942,2,test
41.53,708.9,611.68,660.29,97.22,9.76,0.99,9.6624,4,validation
48.09,608.3,767.31,687.8,159.01,15.28,1.6,24.448,0,train
59.24,792.27,713.01,752.64,79.26,13.88,3.65,50.662,0,train
56.53,733.92,187.73,460.82,546.19,10.78,1.33,14.3374,2,train
41.88,481.76,166.1,323.93,315.66,11.5,1.44,16.56,2,validation
52.18,145.68,649.92,397.8,504.24,13.3,0.71,9.443,2,train
36.83,349.14,435.75,392.44,86.61,4.64,1.63,7.5632,4,train
