temperature_c,ldr_left,ldr_right,avg_light,light_diff,voltage_v,current_a,power_w,label,split
53.81,631.32,591.04,611.18,40.28,11.9083,2.7946,33.2794,PANEL_FAULT,train
55.17,835.55,816.85,826.2,18.7,12.2053,2.5028,30.5478,PANEL_FAULT,validation
30.79,74.98,79.41,77.19,4.43,15.9701,0.0809,1.2925,LOW_LIGHT,validation
51.81,721.09,743.53,732.31,22.44,10.2018,2.552,26.0349,PANEL_FAULT,validation
43.88,732.42,111.03,421.72,621.39,12.4756,0.8197,10.2268,SHADOW,train
50.06,756.11,739.98,748.04,16.13,16.0463,2.8637,45.9521,NORMAL,train
67.3,823.03,834.94,828.98,11.91,14.5359,4.1866,60.8567,OVERHEAT,train
65.66,677.02,678.33,677.68,1.31,14.0293,2.0442,28.678,OVERHEAT,train
63.74,503.65,496.84,500.24,6.81,4.2757,2.4983,10.6818,PANEL_FAULT,train
36.82,136.31,129.89,133.1,6.42,14.3228,0.3274,4.6888,LOW_LIGHT,train
47.18,216.37,754.63,485.5,538.26,10.3567,0.801,8.2956,SHADOW,validation
45.52,859.02,235.89,547.45,623.13,8.2299,0.2638,2.171,SHADOW,train
38,189.93,196.38,193.16,6.45,14.4113,0.3654,5.2666,LOW_LIGHT,test
45.58,859.27,276.6,567.93,582.67,10.1092,2.1681,21.918,SHADOW,validation
53.67,563.71,569.06,566.38,5.35,20.8132,0.0722,1.5023,PANEL_FAULT,train
53.46,875.23,895.95,885.59,20.72,15.8763,3.6357,57.7212,NORMAL,train
47.76,502.18,531.14,516.66,28.96,1.8063,4.4682,8.0709,PANEL_FAULT,train
29.29,119.71,138.79,129.25,19.08,12.9012,0.1419,1.831,LOW_LIGHT,train
46.41,686.64,690.87,688.76,4.23,7.1342,1.2082,8.6193,PANEL_FAULT,train
61.41,705.3,702.24,703.77,3.06,14.7647,2.813,41.5328,OVERHEAT,train
38.17,444.93,434.04,439.49,10.89,10.1721,2.6554,27.0107,PANEL_FAULT,train
39.47,630.45,614.87,622.66,15.58,5.4267,0.7129,3.8686,PANEL_FAULT,train
32.32,177.77,204.9,191.34,27.13,14.9614,0.5204,7.7864,LOW_LIGHT,test
47.92,851.7,853.07,852.38,1.37,16.769,3.7889,63.536,NORMAL,validation
45.8,608.49,643.01,625.75,34.52,16.0787,1.8026,28.9832,NORMAL,train
33.84,204.67,450.55,327.61,245.88,10.8769,1.7034,18.5274,SHADOW,test
81.3,662.82,632.05,647.43,30.77,13.1923,2.3242,30.6611,OVERHEAT,train
68.43,803.41,798.76,801.08,4.65,14.8125,2.6514,39.2737,OVERHEAT,validation
39.92,443.8,117.79,280.8,326.01,10.5755,0.2035,2.1521,SHADOW,validation
34.35,155.36,141.44,148.4,13.92,14.9244,0.4141,6.1803,LOW_LIGHT,train
41.83,685.43,280.76,483.1,404.67,8.8781,1.8269,16.2193,SHADOW,validation
51.69,540.82,546.82,543.82,6,10.1399,0.9062,9.189,PANEL_FAULT,train
43.61,556.23,574.24,565.24,18.01,19.7231,0.0783,1.5435,PANEL_FAULT,train
35.37,146.04,148.27,147.16,2.23,13.8485,0.4639,6.4247,LOW_LIGHT,train
33.42,62.25,77.92,70.09,15.67,13.6778,0.0394,0.5384,LOW_LIGHT,validation
48.74,633.06,627.85,630.45,5.21,11.9651,2.5103,30.0362,PANEL_FAULT,train
42.26,200.49,668.3,434.4,467.81,8.2212,2.1582,17.7427,SHADOW,test
45.03,509.15,500.73,504.94,8.42,9.4307,0.2928,2.7613,PANEL_FAULT,train
48.93,628.26,629.28,628.77,1.02,1.8076,4.4148,7.98,PANEL_FAULT,validation
65.64,801.63,788.12,794.88,13.51,14.0402,3.5224,49.4547,OVERHEAT,train
48.08,618.35,628.83,623.59,10.48,15.0605,1.7941,27.0193,NORMAL,train
36.75,98.08,108.94,103.51,10.86,13.9888,0.3482,4.8703,LOW_LIGHT,train
39.2,654.9,686.41,670.66,31.51,17.1324,1.6541,28.3385,NORMAL,train
38,127.35,140.31,133.83,12.96,15.1461,0.1406,2.129,LOW_LIGHT,train
33.85,141.15,141.1,141.12,0.05,11.6706,0.1646,1.9205,LOW_LIGHT,train
64.8,766.18,754.48,760.33,11.7,14.4978,2.9397,42.6199,OVERHEAT,validation
74.38,926.33,993.8,960.06,67.47,13.6879,4.0332,55.206,OVERHEAT,train
68.64,854.82,857.7,856.26,2.88,14.7326,3.9583,58.3164,OVERHEAT,train
45.38,454.75,448.67,451.71,6.08,19.4515,0.0946,1.8402,PANEL_FAULT,train
62.8,970.85,954.48,962.66,16.37,14.557,3.6989,53.8441,OVERHEAT,train
37.48,431.08,463.62,447.35,32.54,13.0684,2.0923,27.3432,PANEL_FAULT,train
32.37,144.86,448.9,296.88,304.04,11.9451,0.5238,6.2568,SHADOW,train
52.15,672.12,703.8,687.96,31.68,14.9709,2.8665,42.9145,NORMAL,test
57,962.66,979.28,970.97,16.62,15.8177,3.6242,57.3266,NORMAL,train
45.4,492.12,476.29,484.21,15.83,12.7679,2.0963,26.7651,PANEL_FAULT,train
52.65,823.67,819.86,821.76,3.81,16.1032,3.041,48.97,NORMAL,train
39.54,617.39,107.77,362.58,509.62,7.3999,0.6768,5.0081,SHADOW,validation
32.38,107.11,117.55,112.33,10.44,12.843,0.0526,0.6751,LOW_LIGHT,train
48.05,759.75,754.37,757.06,5.38,16.3384,3.1873,52.0745,NORMAL,train
76.95,642.68,619.99,631.34,22.69,13.9282,2.0675,28.7969,OVERHEAT,train
46.44,169.8,796.05,482.92,626.25,12.6532,0.6293,7.9628,SHADOW,train
38,209.13,198.87,204,10.26,13.4618,0.2449,3.2974,LOW_LIGHT,validation
42.36,662.81,144.38,403.6,518.43,13.542,0.2828,3.8291,SHADOW,train
22.49,16.16,16.68,16.42,0.52,14.6532,0.01,0.1465,LOW_LIGHT,test
47.37,819.9,89.17,454.54,730.73,7.1741,0.491,3.5225,SHADOW,train
49.84,885.42,282.43,583.92,602.99,7.1073,0.6365,4.5238,SHADOW,validation
79.96,917.88,895.66,906.77,22.22,13.8124,3.4984,48.3216,OVERHEAT,train
63.67,915.51,892.26,903.88,23.25,14.4991,3.0186,43.767,OVERHEAT,test
82.68,795.22,802.21,798.72,6.99,13.4695,2.4557,33.0769,OVERHEAT,train
42.88,758.49,87.18,422.84,671.31,10.1655,0.5922,6.0203,SHADOW,train
37.08,88.59,91.38,89.98,2.79,15.9327,0.068,1.0836,LOW_LIGHT,train
40.44,159.17,668.47,413.82,509.3,12.5267,1.4689,18.4004,SHADOW,test
31.62,493.21,475.29,484.25,17.92,15.8186,1.2,18.9823,NORMAL,train
32.67,434.8,57.01,245.91,377.79,8.6663,1.1646,10.0924,SHADOW,test
73.62,937.92,940.97,939.44,3.05,13.8081,4.0383,55.7605,OVERHEAT,train
87.67,875.88,877.17,876.52,1.29,13.2933,3.8961,51.792,OVERHEAT,test
64.12,971.18,963.31,967.24,7.87,15.0454,2.886,43.4206,OVERHEAT,train
46.2,691.75,674.4,683.08,17.35,19.8789,0.0305,0.607,PANEL_FAULT,test
51.16,874.6,891.71,883.16,17.11,11.7386,1.4558,17.0896,PANEL_FAULT,train
57,879.1,890.07,884.58,10.97,14,4.0207,56.2892,NORMAL,train
87.77,830.97,856.09,843.53,25.12,12.6521,3.2738,41.4207,OVERHEAT,test
44.41,75.94,757.38,416.66,681.44,12.8638,0.3997,5.1411,SHADOW,train
57,770.32,775.19,772.76,4.87,11.7547,3.0169,35.4633,PANEL_FAULT,train
70.74,795.27,825.56,810.42,30.29,14.1438,2.9955,42.3681,OVERHEAT,train
43.42,496.77,481.92,489.35,14.85,15.0591,1.4397,21.6804,NORMAL,train
68.88,850.65,821.34,836,29.31,14.0613,4.1317,58.0977,OVERHEAT,train
48.39,900.68,280.72,590.7,619.96,9.2854,1.7784,16.5133,SHADOW,train
30.56,61.2,43.91,52.56,17.29,16.9766,0.068,1.1541,LOW_LIGHT,train
43.74,363.65,830.52,597.08,466.87,12.6912,0.6098,7.7385,SHADOW,train
37.08,164.72,135.83,150.28,28.89,13.5243,0.4235,5.7273,LOW_LIGHT,train
47.6,537.33,541,539.16,3.67,19.2014,0.0449,0.8631,PANEL_FAULT,train
59.33,937.42,932.28,934.85,5.14,14.4061,4.2001,60.507,OVERHEAT,validation
29.83,546.8,463.88,505.34,82.92,17.1948,1.2,20.6338,NORMAL,train
33.9,133.93,119.22,126.58,14.71,15.2376,0.1396,2.1266,LOW_LIGHT,train
57,973.68,947.19,960.44,26.49,15.8757,3.753,59.582,NORMAL,test
32.21,89.58,71.44,80.51,18.14,13.6666,0.056,0.7648,LOW_LIGHT,train
49.85,622.58,597.36,609.97,25.22,2.5872,5.6255,14.5541,PANEL_FAULT,validation
63.91,762.47,746.17,754.32,16.3,14.4172,3.4849,50.2428,OVERHEAT,train
46.12,490.46,541.78,516.12,51.32,16.7501,1.6116,26.9941,NORMAL,train
66.95,879.8,870.43,875.12,9.37,14.1457,3.7109,52.4932,OVERHEAT,train
37.73,171.29,632.09,401.69,460.8,13.0487,2.0272,26.4521,SHADOW,train
36.9,457.56,444.89,451.23,12.67,21.2307,0.0608,1.2916,PANEL_FAULT,validation
47.06,569.83,542.92,556.38,26.91,11.5973,0.4596,5.3301,PANEL_FAULT,train
64.92,762.6,777.59,770.1,14.99,14.8588,2.6839,39.8791,OVERHEAT,train
57,896.96,909.17,903.06,12.21,15.393,3.988,61.3873,NORMAL,test
43.96,616.32,621.04,618.68,4.72,14.8365,2.7327,40.543,NORMAL,train
38.54,517.05,487.83,502.44,29.22,15.9764,1.2,19.1717,NORMAL,train
33.71,80.77,90.54,85.66,9.77,14.1982,0.01,0.142,LOW_LIGHT,train
48.58,308.71,826.11,567.41,517.4,12.2856,2.0107,24.7022,SHADOW,train
46.9,684.05,669.89,676.97,14.16,0.3488,4.6917,1.6364,PANEL_FAULT,train
57,888.98,902.29,895.64,13.31,14.3279,3.4085,48.836,NORMAL,train
36.15,525.48,507.16,516.32,18.32,17.5079,1.2,21.0094,NORMAL,test
62.87,737.36,737.98,737.67,0.62,14.7086,2.3673,34.8197,OVERHEAT,train
67.58,450.4,460.33,455.37,9.93,9.7083,3.0515,29.625,PANEL_FAULT,train
88.72,785.08,796.33,790.7,11.25,12.6851,3.443,43.6745,OVERHEAT,train
42.74,491.28,499.21,495.24,7.93,15.6779,2.3131,36.2651,NORMAL,train
62.85,813.46,796.09,804.78,17.37,14.4554,2.6828,38.7809,OVERHEAT,validation
42.29,562.21,554.73,558.47,7.48,9.9,2.4486,24.2412,PANEL_FAULT,validation
40.49,508.1,503.77,505.94,4.33,2.6747,4.8017,12.8431,PANEL_FAULT,train
22.5,22.1,32.37,27.24,10.27,13.5868,0.0778,1.0576,LOW_LIGHT,train
58.66,983.95,969.54,976.74,14.41,14.8707,3.8382,57.077,OVERHEAT,train
44.81,890.02,909.67,899.84,19.65,14.8302,2.6211,38.8713,NORMAL,train
57,893.01,917.3,905.16,24.29,15.2459,4.3845,66.845,NORMAL,train
40.06,521.56,503.87,512.71,17.69,8.6832,1.9308,16.7652,PANEL_FAULT,train
32.39,69.14,51.08,60.11,18.06,16.6414,0.0569,0.9474,LOW_LIGHT,train
42.4,492.51,499.31,495.91,6.8,6.5848,1.8424,12.1319,PANEL_FAULT,train
35.53,449.71,105.63,277.67,344.08,10.3105,0.8142,8.3949,SHADOW,train
33.14,501.78,518.08,509.93,16.3,15.5039,1.2,18.6047,NORMAL,train
49.97,528.31,463.37,495.84,64.94,15.823,2.5188,39.8543,NORMAL,train
60.18,862.59,893.52,878.06,30.93,14.6625,2.775,40.6885,OVERHEAT,train
30.5,504.21,472.46,488.33,31.75,17.4955,1.2,20.9946,NORMAL,train
38.09,146.85,676.74,411.8,529.89,8.84,1.3558,11.9851,SHADOW,train
36.81,522.68,495.91,509.29,26.77,15.8661,1.8471,29.3065,NORMAL,validation
46.77,606.72,580.28,593.5,26.44,0.9113,4.0286,3.6711,PANEL_FAULT,train
43.93,606.85,613.78,610.32,6.93,15.0894,2.0979,31.6557,NORMAL,validation
29.96,96.98,125.73,111.36,28.75,16.8225,0.0623,1.0479,LOW_LIGHT,train
33.02,204.18,480.32,342.25,276.14,11.6203,0.6433,7.4753,SHADOW,train
83.41,788.88,771.21,780.04,17.67,13.7277,4.0218,55.2099,OVERHEAT,train
48.01,670.68,667.07,668.88,3.61,14.6469,3.2014,46.8902,NORMAL,train
34.16,105.79,94.8,100.3,10.99,14.0932,0.4584,6.4601,LOW_LIGHT,train
82.21,660.57,652.78,656.67,7.79,12.9947,2.9893,38.8455,OVERHEAT,train
30.13,65.76,37.58,51.67,28.18,14.3509,0.0897,1.2877,LOW_LIGHT,train
37.76,114.38,470.39,292.38,356.01,12.9576,1.6488,21.364,SHADOW,validation
47.04,235.35,660.69,448.02,425.34,10.9458,1.2891,14.1101,SHADOW,validation
30.7,62.8,40.96,51.88,21.84,13.9934,0.086,1.2034,LOW_LIGHT,train
33.09,472.38,516.64,494.51,44.26,17.8624,1.2,21.4349,NORMAL,validation
35.24,139.8,117.83,128.82,21.97,16.2687,0.4368,7.1063,LOW_LIGHT,train
44.92,947.24,911.73,929.48,35.51,14.9597,4.0074,59.9499,NORMAL,train
31.02,83.68,79.77,81.72,3.91,13.744,0.1154,1.5861,LOW_LIGHT,train
71.85,475.47,479.94,477.71,4.47,6.8652,3.5554,24.4089,PANEL_FAULT,train
37.13,154.17,161.72,157.94,7.55,12.5597,0.4968,6.2399,LOW_LIGHT,train
50,872.88,56.51,464.7,816.37,9.378,1.132,10.6163,SHADOW,train
46.15,570.14,549.39,559.76,20.75,0.6523,5.5411,3.6143,PANEL_FAULT,train
46.45,811.57,210.66,511.12,600.91,8.3714,0.2943,2.4633,SHADOW,train
52.32,754.62,770.26,762.44,15.64,11.8673,1.8321,21.7425,PANEL_FAULT,train
45.75,547.75,535.66,541.7,12.09,9.7267,3.1825,30.9557,PANEL_FAULT,train
39.77,596.5,599.84,598.17,3.34,16.5523,2.0231,33.4869,NORMAL,train
45.98,498.25,488.06,493.16,10.19,4.0542,1.0266,4.1621,PANEL_FAULT,train
77.68,932.09,896.87,914.48,35.22,13.2295,2.6871,35.549,OVERHEAT,test
50,859.06,293.69,576.38,565.37,8.1599,1.4681,11.9795,SHADOW,train
45.53,680.22,698.53,689.38,18.31,8.8799,2.3621,20.9755,PANEL_FAULT,train
31.78,79.12,445.02,262.07,365.9,9.9151,0.5206,5.1617,SHADOW,train
50.64,623.68,590,606.84,33.68,19.5515,0.0888,1.7354,PANEL_FAULT,train
45.23,523.18,196.7,359.94,326.48,9.7635,0.6709,6.5507,SHADOW,train
35.9,44.07,447.03,245.55,402.96,7.904,1.6809,13.2857,SHADOW,train
74.32,855.37,844.63,850,10.74,13.6482,3.8218,52.1612,OVERHEAT,train
56.12,667.92,650.02,658.97,17.9,12.9821,2.0041,26.0169,PANEL_FAULT,train
66.09,979.12,976.24,977.68,2.88,15.0197,3.7833,56.8236,OVERHEAT,train
89.7,920.75,910.16,915.46,10.59,13.1438,3.5215,46.2861,OVERHEAT,validation
34.77,528.4,470.75,499.57,57.65,17.4966,1.2,20.9959,NORMAL,train
62.71,560.91,577.45,569.18,16.54,4.6323,3.4651,16.0515,PANEL_FAULT,train
70.6,871.52,867.24,869.38,4.28,3.0463,3.9569,12.054,PANEL_FAULT,train
33.64,32.78,465.21,249,432.43,7.8945,0.2766,2.1834,SHADOW,train
51.59,714.46,739.71,727.08,25.25,9.9367,2.1112,20.9786,PANEL_FAULT,validation
46.72,472.55,450.48,461.51,22.07,5.7058,2.8195,16.0875,PANEL_FAULT,test
28.23,45.84,34.08,39.96,11.76,15.0118,0.0299,0.449,LOW_LIGHT,test
44.78,444.85,447.61,446.23,2.76,11.5161,1.4722,16.9539,PANEL_FAULT,train
74.1,784.86,816.41,800.64,31.55,13.436,4.0648,54.6143,OVERHEAT,train
42.8,574.72,567.92,571.32,6.8,21.0419,0.0465,0.9774,PANEL_FAULT,train
42.94,505.66,493.75,499.71,11.91,15.7333,1.8412,28.968,NORMAL,validation
64,684.29,694.36,689.32,10.07,13.9399,3.3073,46.1038,OVERHEAT,train
37.92,47.83,431.69,239.76,383.86,9.3453,1.3635,12.7423,SHADOW,test
35.93,149.45,486.77,318.11,337.32,11.7856,1.0778,12.7022,SHADOW,train
30.3,452.31,153.63,302.97,298.68,13.5712,0.4965,6.7376,SHADOW,test
50.44,656.23,665.32,660.78,9.09,10.6841,2.2126,23.6397,PANEL_FAULT,train
37.44,462.22,497.46,479.84,35.24,4.6692,1.8263,8.5273,PANEL_FAULT,validation
35.86,170.75,105.85,138.3,64.9,16.1646,0.5204,8.4113,LOW_LIGHT,train
80.2,705.01,741.8,723.4,36.79,13.5207,3.3636,45.478,OVERHEAT,train
32.61,115.03,450.57,282.8,335.54,9.8309,0.9453,9.2936,SHADOW,train
50.75,769.62,731.84,750.73,37.78,1.5195,4.7219,7.1748,PANEL_FAULT,train
31.25,3.68,42.05,22.86,38.37,12.4487,0.1368,1.7036,LOW_LIGHT,test
47.46,574.06,569.48,571.77,4.58,16.1533,1.6459,26.5862,NORMAL,train
48.87,579.61,580.77,580.19,1.16,16.553,1.7713,29.3198,NORMAL,test
38.56,514.69,531.59,523.14,16.9,16.0658,1.6403,26.3531,NORMAL,train
42.78,637.5,261.07,449.28,376.43,10.6121,1.5219,16.1505,SHADOW,train
85.49,832.07,882.19,857.13,50.12,13.3888,4.3799,58.6422,OVERHEAT,train
40.57,492.58,520.11,506.34,27.53,13.99,1.6479,23.0537,PANEL_FAULT,test
52.53,930.06,910.3,920.18,19.76,15.5097,3.8468,59.662,NORMAL,train
40.8,570.92,553.18,562.05,17.74,7.4431,1.5364,11.4355,PANEL_FAULT,validation
32.23,153.7,159.87,156.78,6.17,16.4824,0.2525,4.1612,LOW_LIGHT,train
40.89,454.48,437.78,446.13,16.7,2.7396,4.5361,12.4272,PANEL_FAULT,train
32.06,513.95,504.65,509.3,9.3,17.6711,1.2,21.2053,NORMAL,validation
43.55,668.3,696.64,682.47,28.34,21.127,0.0303,0.64,PANEL_FAULT,train
77.55,833.71,822.1,827.9,11.61,13.3061,2.7877,37.0928,OVERHEAT,train
41.31,178.27,455.89,317.08,277.62,8.8334,1.3498,11.9232,SHADOW,validation
64.9,662.96,669.04,666,6.08,14.6437,2.4486,35.8564,OVERHEAT,validation
37.04,470.25,88.74,279.5,381.51,10.8656,1.1756,12.7738,SHADOW,train
57,867.92,864.3,866.11,3.62,15.948,4.2368,67.5681,NORMAL,train
63.48,975.47,981.84,978.66,6.37,14.819,3.4517,51.1506,OVERHEAT,train
89.67,811.78,823.24,817.51,11.46,13.1694,3.4797,45.8251,OVERHEAT,train
39.22,447.56,444.23,445.89,3.33,1.9797,4.2907,8.4942,PANEL_FAULT,train
44.3,140.22,696.13,418.18,555.91,12.7072,0.5875,7.4651,SHADOW,train
35.2,172.68,165.16,168.92,7.52,12.1328,0.1279,1.5512,LOW_LIGHT,train
35.17,24.46,450.26,237.36,425.8,12.4056,0.3456,4.2873,SHADOW,train
35.72,490.18,479.28,484.73,10.9,17.0855,1.2,20.5026,NORMAL,train
51.56,806.31,807.62,806.96,1.31,15.4309,3.1457,48.5413,NORMAL,test
39.12,483.61,460.37,471.99,23.24,0.04,5.3679,0.2149,PANEL_FAULT,validation
57,930.89,940.12,935.5,9.23,15.7683,3.7119,58.5308,NORMAL,train
57,892.77,896.15,894.46,3.38,15.1522,3.36,50.9119,NORMAL,train
44.84,170.73,843.85,507.29,673.12,7.3325,0.2648,1.9415,SHADOW,train
65.34,889.24,898.04,893.64,8.8,15.0228,4.2093,63.2355,OVERHEAT,train
67.31,931.73,910.04,920.88,21.69,14.1535,4.1544,58.7988,OVERHEAT,test
35.86,55.48,67.68,61.58,12.2,16.3594,0.0618,1.0113,LOW_LIGHT,train
33.1,118.19,118.85,118.52,0.66,12.515,0.3955,4.9501,LOW_LIGHT,train
41.13,597.99,576.99,587.49,21,10.0506,1.4733,14.8074,PANEL_FAULT,train
46.57,720.18,731.27,725.72,11.09,10.6069,2.7412,29.0754,PANEL_FAULT,train
35.56,444.55,200.28,322.42,244.27,8.8195,1.2659,11.1647,SHADOW,train
43.46,452.91,476.72,464.82,23.81,19.3751,0.081,1.5695,PANEL_FAULT,train
29.51,0,9.54,4.77,9.54,17.1175,0.0416,0.7118,LOW_LIGHT,train
84.62,900.79,902.31,901.55,1.52,12.6763,3.8656,49.0014,OVERHEAT,test
34.25,493.5,505.01,499.25,11.51,16.7853,1.2819,21.5174,NORMAL,train
37.92,765.05,216.32,490.68,548.73,9.7917,1.3259,12.9824,SHADOW,train
44.06,617.66,620.95,619.31,3.29,1.1932,4.533,5.4089,PANEL_FAULT,validation
32.2,112.99,123.3,118.14,10.31,15.9444,0.3051,4.8643,LOW_LIGHT,train
54.59,985.13,968.19,976.66,16.94,14.1475,4.4771,63.3404,NORMAL,train
38,186.81,152.82,169.82,33.99,13.9146,0.2057,2.862,LOW_LIGHT,train
69.12,817.47,834.99,826.23,17.52,14.4712,3.9059,56.523,OVERHEAT,train
47.61,719.56,713.15,716.36,6.41,11.1806,2.6227,29.3232,PANEL_FAULT,validation
48.2,700.79,718.18,709.48,17.39,0.8371,5.5067,4.6095,PANEL_FAULT,train
36.88,461.74,473.5,467.62,11.76,1.3407,4.6297,6.2072,PANEL_FAULT,train
33.52,237.51,234.18,235.84,3.33,13.4405,0.4183,5.6224,LOW_LIGHT,train
46.74,719.24,749,734.12,29.76,15.9896,3.4209,54.6994,NORMAL,validation
48.97,645.68,664.48,655.08,18.8,14.9511,2.4794,37.0695,NORMAL,train
39.23,447.44,98.04,272.74,349.4,13.8584,1.0938,15.159,SHADOW,train
35.52,500.15,492.36,496.25,7.79,15.4666,1.2,18.56,NORMAL,train
41.29,494.18,490.26,492.22,3.92,5.5545,1.29,7.1651,PANEL_FAULT,train
55.7,806.22,815.91,811.06,9.69,15.4517,2.5025,38.6674,NORMAL,train
84.91,888.91,897.08,893,8.17,12.8419,4.3835,56.2927,OVERHEAT,test
48.31,680.44,724.31,702.38,43.87,9.1443,2.5758,23.5541,PANEL_FAULT,train
59.48,624.34,619.58,621.96,4.76,4.2131,4.1082,17.3081,PANEL_FAULT,validation
41.23,656.17,648.14,652.16,8.03,18.7765,0.0438,0.8224,PANEL_FAULT,train
40.65,615.71,641.45,628.58,25.74,7.3787,0.6596,4.867,PANEL_FAULT,train
50.66,543.71,529.81,536.76,13.9,13.3139,2.7455,36.5531,PANEL_FAULT,train
87.75,803.06,813.04,808.05,9.98,12.4663,2.7708,34.5416,OVERHEAT,train
29.95,158.5,139.32,148.91,19.18,15.5709,0.2844,4.4287,LOW_LIGHT,train
46.11,538.52,527.44,532.98,11.08,16.231,2.3318,37.8478,NORMAL,train
34.65,497.8,509.04,503.42,11.24,15.6366,1.2,18.7639,NORMAL,train
44.7,508.13,510.11,509.12,1.98,16.1647,1.3785,22.2837,NORMAL,train
68.12,807.2,788.1,797.65,19.1,13.9164,3.5657,49.6219,OVERHEAT,validation
27.81,15.38,35.86,25.62,20.48,15.9335,0.0537,0.8563,LOW_LIGHT,train
33.7,502.42,490.93,496.68,11.49,15.5029,1.2,18.6034,NORMAL,train
48.14,704.52,65.44,384.98,639.08,7.4063,0.3094,2.2916,SHADOW,train
79.55,870.11,854.67,862.39,15.44,12.9345,3.0193,39.0532,OVERHEAT,train
88.45,837.1,852.76,844.93,15.66,12.3225,3.3771,41.6148,OVERHEAT,train
49.36,841.77,830.59,836.18,11.18,15.386,2.9591,45.5291,NORMAL,train
41.13,771.52,739.72,755.62,31.8,15.4745,3.6526,56.5216,NORMAL,validation
37.49,511.5,505.1,508.3,6.4,16.877,1.4601,24.6418,NORMAL,test
71.82,832.04,847.34,839.69,15.3,14.3563,3.8628,55.4559,OVERHEAT,train
32.19,151.82,148.97,150.39,2.85,12.2843,0.3558,4.3713,LOW_LIGHT,train
39.69,795.42,242.57,519,552.85,9.0196,0.3141,2.833,SHADOW,train
36.9,143.4,161.64,152.52,18.24,11.9009,0.5944,7.0744,LOW_LIGHT,train
55.63,985.85,938.17,962.01,47.68,0.5959,5.2255,3.114,PANEL_FAULT,train
48.01,588.15,581.21,584.68,6.94,15.3252,1.7714,27.1472,NORMAL,train
55.34,895.05,875.81,885.43,19.24,15.8939,3.902,62.0175,NORMAL,validation
36.5,468.95,525.53,497.24,56.58,16.5523,1.2,19.8628,NORMAL,train
